Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Chance of Admit ,Research
1,337,118,4,4.5,4.5,9.65,0.92,1
2,324,107,4,4,4.5,8.87,0.76,1
3,316,104,3,3,3.5,8,0.72,1
4,322,110,3,3.5,2.5,8.67,0.8,1
5,314,103,2,2,3,8.21,0.65,0
6,330,115,5,4.5,3,9.34,0.9,1
7,321,109,3,3,4,8.2,0.75,1
8,308,101,2,3,4,7.9,0.68,0
9,302,102,1,2,1.5,8,0.5,0
10,323,108,3,3.5,3,8.6,0.45,0
11,325,106,3,3.5,4,8.4,0.52,1
12,327,111,4,4,4.5,9,0.84,1
13,328,112,4,4,4.5,9.1,0.78,1
14,307,109,3,4,3,8,0.62,1
15,311,104,3,3.5,2,8.2,0.61,1
16,314,105,3,3.5,2.5,8.3,0.54,0
17,317,107,3,4,3,8.7,0.66,0
18,319,106,3,4,3,8,0.65,1
19,318,110,3,4,3,8.8,0.63,0
20,303,102,3,3.5,3,8.5,0.62,0
21,312,107,3,3,2,7.9,0.64,1
22,325,114,4,3,2,8.4,0.7,0
23,328,116,5,5,5,9.5,0.94,1
24,334,119,5,5,4.5,9.7,0.95,1
25,336,119,5,4,3.5,9.8,0.97,1
26,340,120,5,4.5,4.5,9.6,0.94,1
27,322,109,5,4.5,3.5,8.8,0.76,0
28,298,98,2,1.5,2.5,7.5,0.44,1
29,295,93,1,2,2,7.2,0.46,0
30,310,99,2,1.5,2,7.3,0.54,0
31,300,97,2,3,3,8.1,0.65,1
32,327,103,3,4,4,8.3,0.74,1
33,338,118,4,3,4.5,9.4,0.91,1
34,340,114,5,4,4,9.6,0.9,1
35,331,112,5,4,5,9.8,0.94,1
36,320,110,5,5,5,9.2,0.88,1
37,299,106,2,4,4,8.4,0.64,0
38,300,105,1,1,2,7.8,0.58,0
39,304,105,1,3,1.5,7.5,0.52,0
40,307,108,2,4,3.5,7.7,0.48,0
41,308,110,3,3.5,3,8,0.46,1
42,316,105,2,2.5,2.5,8.2,0.49,1
43,313,107,2,2.5,2,8.5,0.53,1
44,332,117,4,4.5,4,9.1,0.87,0
45,326,113,5,4.5,4,9.4,0.91,1
46,322,110,5,5,4,9.1,0.88,1
47,329,114,5,4,5,9.3,0.86,1
48,339,119,5,4.5,4,9.7,0.89,0
49,321,110,3,3.5,5,8.85,0.82,1
50,327,111,4,3,4,8.4,0.78,1
51,313,98,3,2.5,4.5,8.3,0.76,1
52,312,100,2,1.5,3.5,7.9,0.56,1
53,334,116,4,4,3,8,0.78,1
54,324,112,4,4,2.5,8.1,0.72,1
55,322,110,3,3,3.5,8,0.7,0
56,320,103,3,3,3,7.7,0.64,0
57,316,102,3,2,3,7.4,0.64,0
58,298,99,2,4,2,7.6,0.46,0
59,300,99,1,3,2,6.8,0.36,1
60,311,104,2,2,2,8.3,0.42,0
61,309,100,2,3,3,8.1,0.48,0
62,307,101,3,4,3,8.2,0.47,0
63,304,105,2,3,3,8.2,0.54,1
64,315,107,2,4,3,8.5,0.56,1
65,325,111,3,3,3.5,8.7,0.52,0
66,325,112,4,3.5,3.5,8.92,0.55,0
67,327,114,3,3,3,9.02,0.61,0
68,316,107,2,3.5,3.5,8.64,0.57,1
69,318,109,3,3.5,4,9.22,0.68,1
70,328,115,4,4.5,4,9.16,0.78,1
71,332,118,5,5,5,9.64,0.94,1
72,336,112,5,5,5,9.76,0.96,1
73,321,111,5,5,5,9.45,0.93,1
74,314,108,4,4.5,4,9.04,0.84,1
75,314,106,3,3,5,8.9,0.74,0
76,329,114,2,2,4,8.56,0.72,1
77,327,112,3,3,3,8.72,0.74,1
78,301,99,2,3,2,8.22,0.64,0
79,296,95,2,3,2,7.54,0.44,1
80,294,93,1,1.5,2,7.36,0.46,0
81,312,105,3,2,3,8.02,0.5,1
82,340,120,4,5,5,9.5,0.96,1
83,320,110,5,5,4.5,9.22,0.92,1
84,322,115,5,4,4.5,9.36,0.92,1
85,340,115,5,4.5,4.5,9.45,0.94,1
86,319,103,4,4.5,3.5,8.66,0.76,0
87,315,106,3,4.5,3.5,8.42,0.72,0
88,317,107,2,3.5,3,8.28,0.66,0
89,314,108,3,4.5,3.5,8.14,0.64,0
90,316,109,4,4.5,3.5,8.76,0.74,1
91,318,106,2,4,4,7.92,0.64,1
92,299,97,3,5,3.5,7.66,0.38,0
93,298,98,2,4,3,8.03,0.34,0
94,301,97,2,3,3,7.88,0.44,1
95,303,99,3,2,2.5,7.66,0.36,0
96,304,100,4,1.5,2.5,7.84,0.42,0
97,306,100,2,3,3,8,0.48,0
98,331,120,3,4,4,8.96,0.86,1
99,332,119,4,5,4.5,9.24,0.9,1
100,323,113,3,4,4,8.88,0.79,1
101,322,107,3,3.5,3.5,8.46,0.71,1
102,312,105,2,2.5,3,8.12,0.64,0
103,314,106,2,4,3.5,8.25,0.62,0
104,317,104,2,4.5,4,8.47,0.57,0
105,326,112,3,3.5,3,9.05,0.74,1
106,316,110,3,4,4.5,8.78,0.69,1
107,329,111,4,4.5,4.5,9.18,0.87,1
108,338,117,4,3.5,4.5,9.46,0.91,1
109,331,116,5,5,5,9.38,0.93,1
110,304,103,5,5,4,8.64,0.68,0
111,305,108,5,3,3,8.48,0.61,0
112,321,109,4,4,4,8.68,0.69,1
113,301,107,3,3.5,3.5,8.34,0.62,1
114,320,110,2,4,3.5,8.56,0.72,0
115,311,105,3,3.5,3,8.45,0.59,1
116,310,106,4,4.5,4.5,9.04,0.66,1
117,299,102,3,4,3.5,8.62,0.56,0
118,290,104,4,2,2.5,7.46,0.45,0
119,296,99,2,3,3.5,7.28,0.47,0
120,327,104,5,3,3.5,8.84,0.71,1
121,335,117,5,5,5,9.56,0.94,1
122,334,119,5,4.5,4.5,9.48,0.94,1
123,310,106,4,1.5,2.5,8.36,0.57,0
124,308,108,3,3.5,3.5,8.22,0.61,0
125,301,106,4,2.5,3,8.47,0.57,0
126,300,100,3,2,3,8.66,0.64,1
127,323,113,3,4,3,9.32,0.85,1
128,319,112,3,2.5,2,8.71,0.78,1
129,326,112,3,3.5,3,9.1,0.84,1
130,333,118,5,5,5,9.35,0.92,1
131,339,114,5,4,4.5,9.76,0.96,1
132,303,105,5,5,4.5,8.65,0.77,0
133,309,105,5,3.5,3.5,8.56,0.71,0
134,323,112,5,4,4.5,8.78,0.79,0
135,333,113,5,4,4,9.28,0.89,1
136,314,109,4,3.5,4,8.77,0.82,1
137,312,103,3,5,4,8.45,0.76,0
138,316,100,2,1.5,3,8.16,0.71,1
139,326,116,2,4.5,3,9.08,0.8,1
140,318,109,1,3.5,3.5,9.12,0.78,0
141,329,110,2,4,3,9.15,0.84,1
142,332,118,2,4.5,3.5,9.36,0.9,1
143,331,115,5,4,3.5,9.44,0.92,1
144,340,120,4,4.5,4,9.92,0.97,1
145,325,112,2,3,3.5,8.96,0.8,1
146,320,113,2,2,2.5,8.64,0.81,1
147,315,105,3,2,2.5,8.48,0.75,0
148,326,114,3,3,3,9.11,0.83,1
149,339,116,4,4,3.5,9.8,0.96,1
150,311,106,2,3.5,3,8.26,0.79,1
151,334,114,4,4,4,9.43,0.93,1
152,332,116,5,5,5,9.28,0.94,1
153,321,112,5,5,5,9.06,0.86,1
154,324,105,3,3,4,8.75,0.79,0
155,326,108,3,3,3.5,8.89,0.8,0
156,312,109,3,3,3,8.69,0.77,0
157,315,105,3,2,2.5,8.34,0.7,0
158,309,104,2,2,2.5,8.26,0.65,0
159,306,106,2,2,2.5,8.14,0.61,0
160,297,100,1,1.5,2,7.9,0.52,0
161,315,103,1,1.5,2,7.86,0.57,0
162,298,99,1,1.5,3,7.46,0.53,0
163,318,109,3,3,3,8.5,0.67,0
164,317,105,3,3.5,3,8.56,0.68,0
165,329,111,4,4.5,4,9.01,0.81,1
166,322,110,5,4.5,4,8.97,0.78,0
167,302,102,3,3.5,5,8.33,0.65,0
168,313,102,3,2,3,8.27,0.64,0
169,293,97,2,2,4,7.8,0.64,1
170,311,99,2,2.5,3,7.98,0.65,0
171,312,101,2,2.5,3.5,8.04,0.68,1
172,334,117,5,4,4.5,9.07,0.89,1
173,322,110,4,4,5,9.13,0.86,1
174,323,113,4,4,4.5,9.23,0.89,1
175,321,111,4,4,4,8.97,0.87,1
176,320,111,4,4.5,3.5,8.87,0.85,1
177,329,119,4,4.5,4.5,9.16,0.9,1
178,319,110,3,3.5,3.5,9.04,0.82,0
179,309,108,3,2.5,3,8.12,0.72,0
180,307,102,3,3,3,8.27,0.73,0
181,300,104,3,3.5,3,8.16,0.71,0
182,305,107,2,2.5,2.5,8.42,0.71,0
183,299,100,2,3,3.5,7.88,0.68,0
184,314,110,3,4,4,8.8,0.75,0
185,316,106,2,2.5,4,8.32,0.72,0
186,327,113,4,4.5,4.5,9.11,0.89,1
187,317,107,3,3.5,3,8.68,0.84,1
188,335,118,5,4.5,3.5,9.44,0.93,1
189,331,115,5,4.5,3.5,9.36,0.93,1
190,324,112,5,5,5,9.08,0.88,1
191,324,111,5,4.5,4,9.16,0.9,1
192,323,110,5,4,5,8.98,0.87,1
193,322,114,5,4.5,4,8.94,0.86,1
194,336,118,5,4.5,5,9.53,0.94,1
195,316,109,3,3.5,3,8.76,0.77,0
196,307,107,2,3,3.5,8.52,0.78,1
197,306,105,2,3,2.5,8.26,0.73,0
198,310,106,2,3.5,2.5,8.33,0.73,0
199,311,104,3,4.5,4.5,8.43,0.7,0
200,313,107,3,4,4.5,8.69,0.72,0
201,317,103,3,2.5,3,8.54,0.73,1
202,315,110,2,3.5,3,8.46,0.72,1
203,340,120,5,4.5,4.5,9.91,0.97,1
204,334,120,5,4,5,9.87,0.97,1
205,298,105,3,3.5,4,8.54,0.69,0
206,295,99,2,2.5,3,7.65,0.57,0
207,315,99,2,3.5,3,7.89,0.63,0
208,310,102,3,3.5,4,8.02,0.66,1
209,305,106,2,3,3,8.16,0.64,0
210,301,104,3,3.5,4,8.12,0.68,1
211,325,108,4,4.5,4,9.06,0.79,1
212,328,110,4,5,4,9.14,0.82,1
213,338,120,4,5,5,9.66,0.95,1
214,333,119,5,5,4.5,9.78,0.96,1
215,331,117,4,4.5,5,9.42,0.94,1
216,330,116,5,5,4.5,9.36,0.93,1
217,322,112,4,4.5,4.5,9.26,0.91,1
218,321,109,4,4,4,9.13,0.85,1
219,324,110,4,3,3.5,8.97,0.84,1
220,312,104,3,3.5,3.5,8.42,0.74,0
221,313,103,3,4,4,8.75,0.76,0
222,316,110,3,3.5,4,8.56,0.75,0
223,324,113,4,4.5,4,8.79,0.76,0
224,308,109,2,3,4,8.45,0.71,0
225,305,105,2,3,2,8.23,0.67,0
226,296,99,2,2.5,2.5,8.03,0.61,0
227,306,110,2,3.5,4,8.45,0.63,0
228,312,110,2,3.5,3,8.53,0.64,0
229,318,112,3,4,3.5,8.67,0.71,0
230,324,111,4,3,3,9.01,0.82,1
231,313,104,3,4,4.5,8.65,0.73,0
232,319,106,3,3.5,2.5,8.33,0.74,1
233,312,107,2,2.5,3.5,8.27,0.69,0
234,304,100,2,2.5,3.5,8.07,0.64,0
235,330,113,5,5,4,9.31,0.91,1
236,326,111,5,4.5,4,9.23,0.88,1
237,325,112,4,4,4.5,9.17,0.85,1
238,329,114,5,4.5,5,9.19,0.86,1
239,310,104,3,2,3.5,8.37,0.7,0
240,299,100,1,1.5,2,7.89,0.59,0
241,296,101,1,2.5,3,7.68,0.6,0
242,317,103,2,2.5,2,8.15,0.65,0
243,324,115,3,3.5,3,8.76,0.7,1
244,325,114,3,3.5,3,9.04,0.76,1
245,314,107,2,2.5,4,8.56,0.63,0
246,328,110,4,4,2.5,9.02,0.81,1
247,316,105,3,3,3.5,8.73,0.72,0
248,311,104,2,2.5,3.5,8.48,0.71,0
249,324,110,3,3.5,4,8.87,0.8,1
250,321,111,3,3.5,4,8.83,0.77,1
251,320,104,3,3,2.5,8.57,0.74,1
252,316,99,2,2.5,3,9,0.7,0
253,318,100,2,2.5,3.5,8.54,0.71,1
254,335,115,4,4.5,4.5,9.68,0.93,1
255,321,114,4,4,5,9.12,0.85,0
256,307,110,4,4,4.5,8.37,0.79,0
257,309,99,3,4,4,8.56,0.76,0
258,324,100,3,4,5,8.64,0.78,1
259,326,102,4,5,5,8.76,0.77,1
260,331,119,4,5,4.5,9.34,0.9,1
261,327,108,5,5,3.5,9.13,0.87,1
262,312,104,3,3.5,4,8.09,0.71,0
263,308,103,2,2.5,4,8.36,0.7,1
264,324,111,3,2.5,1.5,8.79,0.7,1
265,325,110,2,3,2.5,8.76,0.75,1
266,313,102,3,2.5,2.5,8.68,0.71,0
267,312,105,2,2,2.5,8.45,0.72,0
268,314,107,3,3,3.5,8.17,0.73,1
269,327,113,4,4.5,5,9.14,0.83,0
270,308,108,4,4.5,5,8.34,0.77,0
271,306,105,2,2.5,3,8.22,0.72,1
272,299,96,2,1.5,2,7.86,0.54,0
273,294,95,1,1.5,1.5,7.64,0.49,0
274,312,99,1,1,1.5,8.01,0.52,1
275,315,100,1,2,2.5,7.95,0.58,0
276,322,110,3,3.5,3,8.96,0.78,1
277,329,113,5,5,4.5,9.45,0.89,1
278,320,101,2,2.5,3,8.62,0.7,0
279,308,103,2,3,3.5,8.49,0.66,0
280,304,102,2,3,4,8.73,0.67,0
281,311,102,3,4.5,4,8.64,0.68,1
282,317,110,3,4,4.5,9.11,0.8,1
283,312,106,3,4,3.5,8.79,0.81,1
284,321,111,3,2.5,3,8.9,0.8,1
285,340,112,4,5,4.5,9.66,0.94,1
286,331,116,5,4,4,9.26,0.93,1
287,336,118,5,4.5,4,9.19,0.92,1
288,324,114,5,5,4.5,9.08,0.89,1
289,314,104,4,5,5,9.02,0.82,0
290,313,109,3,4,3.5,9,0.79,0
291,307,105,2,2.5,3,7.65,0.58,0
292,300,102,2,1.5,2,7.87,0.56,0
293,302,99,2,1,2,7.97,0.56,0
294,312,98,1,3.5,3,8.18,0.64,1
295,316,101,2,2.5,2,8.32,0.61,1
296,317,100,2,3,2.5,8.57,0.68,0
297,310,107,3,3.5,3.5,8.67,0.76,0
298,320,120,3,4,4.5,9.11,0.86,0
299,330,114,3,4.5,4.5,9.24,0.9,1
300,305,112,3,3,3.5,8.65,0.71,0
301,309,106,2,2.5,2.5,8,0.62,0
302,319,108,2,2.5,3,8.76,0.66,0
303,322,105,2,3,3,8.45,0.65,1
304,323,107,3,3.5,3.5,8.55,0.73,1
305,313,106,2,2.5,2,8.43,0.62,0
306,321,109,3,3.5,3.5,8.8,0.74,1
307,323,110,3,4,3.5,9.1,0.79,1
308,325,112,4,4,4,9,0.8,1
309,312,108,3,3.5,3,8.53,0.69,0
310,308,110,4,3.5,3,8.6,0.7,0
311,320,104,3,3,3.5,8.74,0.76,1
312,328,108,4,4.5,4,9.18,0.84,1
313,311,107,4,4.5,4.5,9,0.78,1
314,301,100,3,3.5,3,8.04,0.67,0
315,305,105,2,3,4,8.13,0.66,0
316,308,104,2,2.5,3,8.07,0.65,0
317,298,101,2,1.5,2,7.86,0.54,0
318,300,99,1,1,2.5,8.01,0.58,0
319,324,111,3,2.5,2,8.8,0.79,1
320,327,113,4,3.5,3,8.69,0.8,1
321,317,106,3,4,3.5,8.5,0.75,1
322,323,104,3,4,4,8.44,0.73,1
323,314,107,2,2.5,4,8.27,0.72,0
324,305,102,2,2,2.5,8.18,0.62,0
325,315,104,3,3,2.5,8.33,0.67,0
326,326,116,3,3.5,4,9.14,0.81,1
327,299,100,3,2,2,8.02,0.63,0
328,295,101,2,2.5,2,7.86,0.69,0
329,324,112,4,4,3.5,8.77,0.8,1
330,297,96,2,2.5,1.5,7.89,0.43,0
331,327,113,3,3.5,3,8.66,0.8,1
332,311,105,2,3,2,8.12,0.73,1
333,308,106,3,3.5,2.5,8.21,0.75,1
334,319,108,3,3,3.5,8.54,0.71,1
335,312,107,4,4.5,4,8.65,0.73,1
336,325,111,4,4,4.5,9.11,0.83,1
337,319,110,3,3,2.5,8.79,0.72,0
338,332,118,5,5,5,9.47,0.94,1
339,323,108,5,4,4,8.74,0.81,1
340,324,107,5,3.5,4,8.66,0.81,1
341,312,107,3,3,3,8.46,0.75,1
342,326,110,3,3.5,3.5,8.76,0.79,1
343,308,106,3,3,3,8.24,0.58,0
344,305,103,2,2.5,3.5,8.13,0.59,0
345,295,96,2,1.5,2,7.34,0.47,0
346,316,98,1,1.5,2,7.43,0.49,0
347,304,97,2,1.5,2,7.64,0.47,0
348,299,94,1,1,1,7.34,0.42,0
349,302,99,1,2,2,7.25,0.57,0
350,313,101,3,2.5,3,8.04,0.62,0
351,318,107,3,3,3.5,8.27,0.74,1
352,325,110,4,3.5,4,8.67,0.73,1
353,303,100,2,3,3.5,8.06,0.64,1
354,300,102,3,3.5,2.5,8.17,0.63,0
355,297,98,2,2.5,3,7.67,0.59,0
356,317,106,2,2,3.5,8.12,0.73,0
357,327,109,3,3.5,4,8.77,0.79,1
358,301,104,2,3.5,3.5,7.89,0.68,1
359,314,105,2,2.5,2,7.64,0.7,0
360,321,107,2,2,1.5,8.44,0.81,0
361,322,110,3,4,5,8.64,0.85,1
362,334,116,4,4,3.5,9.54,0.93,1
363,338,115,5,4.5,5,9.23,0.91,1
364,306,103,2,2.5,3,8.36,0.69,0
365,313,102,3,3.5,4,8.9,0.77,1
366,330,114,4,4.5,3,9.17,0.86,1
367,320,104,3,3.5,4.5,8.34,0.74,1
368,311,98,1,1,2.5,7.46,0.57,0
369,298,92,1,2,2,7.88,0.51,0
370,301,98,1,2,3,8.03,0.67,1
371,310,103,2,2.5,2.5,8.24,0.72,0
372,324,110,3,3.5,3,9.22,0.89,1
373,336,119,4,4.5,4,9.62,0.95,1
374,321,109,3,3,3,8.54,0.79,1
375,315,105,2,2,2.5,7.65,0.39,0
376,304,101,2,2,2.5,7.66,0.38,0
377,297,96,2,2.5,2,7.43,0.34,0
378,290,100,1,1.5,2,7.56,0.47,0
379,303,98,1,2,2.5,7.65,0.56,0
380,311,99,1,2.5,3,8.43,0.71,1
381,322,104,3,3.5,4,8.84,0.78,1
382,319,105,3,3,3.5,8.67,0.73,1
383,324,110,4,4.5,4,9.15,0.82,1
384,300,100,3,3,3.5,8.26,0.62,0
385,340,113,4,5,5,9.74,0.96,1
386,335,117,5,5,5,9.82,0.96,1
387,302,101,2,2.5,3.5,7.96,0.46,0
388,307,105,2,2,3.5,8.1,0.53,0
389,296,97,2,1.5,2,7.8,0.49,0
390,320,108,3,3.5,4,8.44,0.76,1
391,314,102,2,2,2.5,8.24,0.64,0
392,318,106,3,2,3,8.65,0.71,0
393,326,112,4,4,3.5,9.12,0.84,1
394,317,104,2,3,3,8.76,0.77,0
395,329,111,4,4.5,4,9.23,0.89,1
396,324,110,3,3.5,3.5,9.04,0.82,1
397,325,107,3,3,3.5,9.11,0.84,1
398,330,116,4,5,4.5,9.45,0.91,1
399,312,103,3,3.5,4,8.78,0.67,0
400,333,117,4,5,4,9.66,0.95,1
